id,parent,Color,size,sd
ABBV,Pharmaceuticals,#BDB9DA,58.83333333,3.099932597
Life Sciences Tools & Services,Health Care,#BDB9DA,556.5,11.09053651
ILMN,Life Sciences Tools & Services,#BDB9DA,135.5,1.965499692
MTD,Life Sciences Tools & Services,#BDB9DA,421,10.97412638
Health Care Supplies,Health Care,#BDB9DA,285,3.31662479
XRAY,Health Care Supplies,#BDB9DA,60.5,0.627083354
PDCO,Health Care Supplies,#BDB9DA,46,0.870851147
COO,Health Care Supplies,#BDB9DA,178.5,3.338682485
Health Care Facilities,Health Care,#BDB9DA,255,4.795831523
HCA,Health Care Facilities,#BDB9DA,75.16666667,3.518482171
UHS,Health Care Facilities,#BDB9DA,121.6666667,3.374781924
DVA,Health Care Facilities,#BDB9DA,58.16666667,0.918698318
Managed Health Care,Health Care,#BDB9DA,741.1666667,15
CI,Managed Health Care,#BDB9DA,126.8333333,6.646348832
AET,Managed Health Care,#BDB9DA,111.5,5.577199914
HUM,Managed Health Care,#BDB9DA,177.1666667,9.738920672
ANTM,Managed Health Care,#BDB9DA,124.8333333,5.106414363
UNH,Managed Health Care,#BDB9DA,140.6666667,3.020524493
CNC,Managed Health Care,#BDB9DA,60.16666667,4.685323984
Health Care Services,Health Care,#BDB9DA,225.1666667,2.449489743
EVHC,Health Care Services,#BDB9DA,20.5,1.215949492
DGX,Health Care Services,#BDB9DA,81.33333333,1.076480357
LH,Health Care Services,#BDB9DA,123.3333333,2.10401823
Biotechnology,Health Care,#BDB9DA,1300.166667,41.85689907
VRTX,Biotechnology,#BDB9DA,84.5,6.697638374
BIIB,Biotechnology,#BDB9DA,297.1666667,19.27332741
REGN,Biotechnology,#BDB9DA,375,34.1168893
GILD,Biotechnology,#BDB9DA,74.33333333,2.577161531
ALXN,Biotechnology,#BDB9DA,124.6666667,3.821330116
CELG,Biotechnology,#BDB9DA,110.1666667,7.452074824
AMGN,Biotechnology,#BDB9DA,140.6666667,6.00587409
INCY,Biotechnology,#BDB9DA,93.66666667,7.969305537
Health Care Equipment,Health Care,#BDB9DA,2233.666667,18.05547009
TMO,Health Care Equipment,#BDB9DA,150.1666667,3.138806709
BDX,Health Care Equipment,#BDB9DA,175.1666667,2.011369317
BCR,Health Care Equipment,#BDB9DA,219.3333333,2.365418508
ISRG,Health Care Equipment,#BDB9DA,665.5,17.05055234
BAX,Health Care Equipment,#BDB9DA,46.66666667,0.859997326
VAR,Health Care Equipment,#BDB9DA,89.33333333,1.260608861
DHR,Health Care Equipment,#BDB9DA,78,1.535718945
A,Health Care Equipment,#BDB9DA,44.83333333,1.230017394
MDT,Health Care Equipment,#BDB9DA,82.33333333,1.128593967
SYK,Health Care Equipment,#BDB9DA,116.8333333,2.378668691
ABT,Health Care Equipment,#BDB9DA,39.16666667,0.860685
ZBH,Health Care Equipment,#BDB9DA,101.8333333,1.29785437
HOLX,Health Care Equipment,#BDB9DA,37.5,0.770649352
EW,Health Care Equipment,#BDB9DA,90.66666667,1.406309498
IDXX,Health Care Equipment,#BDB9DA,107.5,1.66393595
PKI,Health Care Equipment,#BDB9DA,50.5,0.700868292
BSX,Health Care Equipment,#BDB9DA,21.33333333,0.575803827
JNJ,Health Care Equipment,#BDB9DA,117,2.040375357
Health Care Distributors,Health Care,#BDB9DA,693.1666667,9.219544457
ABC,Health Care Distributors,#BDB9DA,72.66666667,3.542815579
CAH,Health Care Distributors,#BDB9DA,66.83333333,2.499779915
HSIC,Health Care Distributors,#BDB9DA,155.1666667,1.548131387
MCK,Health Care Distributors,#BDB9DA,135.1666667,6.66985641
ESRX,Health Care Distributors,#BDB9DA,70.33333333,3.195428768
BMY,Health Care Distributors,#BDB9DA,53,2.456277933
WAT,Health Care Distributors,#BDB9DA,140,2.318017285
Health Care Technology,Health Care,#BDB9DA,51.16666667,1
CERN,Health Care Technology,#BDB9DA,51.16666667,1.383139703
Real Estate,SP500,#BDB9DA,2707.333333,12.88409873
Specialized REITs,Real Estate,#FCB461,977,11.09053651
AMT,Specialized REITs,#FCB461,111.5,3.589030046
EXR,Specialized REITs,#FCB461,73,2.018174357
EQIX,Specialized REITs,#FCB461,343.5,8.360543182
PSA,Specialized REITs,#FCB461,211,5.299810153
DLR,Specialized REITs,#FCB461,90.66666667,2.411379228
CCI,Specialized REITs,#FCB461,86.5,2.379758249
IRM,Specialized REITs,#FCB461,32.16666667,0.869591134
WY,Specialized REITs,#FCB461,28.66666667,0.605383522
Retail REITs,Real Estate,#FCB461,562.5,2.645751311
O,Retail REITs,#FCB461,56.33333333,1.690289565
REG,Retail REITs,#FCB461,69,0.805055808
GGP,Retail REITs,#FCB461,24.5,0.530439824
MAC,Retail REITs,#FCB461,67.83333333,0.963935785
FRT,Retail REITs,#FCB461,138.8333333,2.07025534
SPG,Retail REITs,#FCB461,180.8333333,1.398441163
KIM,Retail REITs,#FCB461,25.16666667,0.4426875
Residential REITs,Real Estate,#FCB461,619.1666667,3.605551275
EQR,Residential REITs,#FCB461,60.83333333,0.943153669
AIV,Residential REITs,#FCB461,43.33333333,0.948417731
UDR,Residential REITs,#FCB461,34,0.648947961
MAA,Residential REITs,#FCB461,93.16666667,1.225256832
ESS,Residential REITs,#FCB461,218.1666667,2.964596084
AVB,Residential REITs,#FCB461,169.6666667,2.094963495
Real Estate Services,Real Estate,#FCB461,26.66666667,0
CBG,Real Estate Services,#FCB461,26.66666667,0.608778922
Office REITs,Real Estate,#FCB461,304.1666667,3.741657387
BXP,Office REITs,#FCB461,117.5,2.503460313
VNO,Office REITs,#FCB461,89,1.817216919
SLG,Office REITs,#FCB461,97.66666667,2.433534508
Hotel & Resort REITs,Real Estate,#FCB461,15.16666667,0
HST,Hotel & Resort REITs,#FCB461,15.16666667,0.678212752
Health Care REITs,Real Estate,#FCB461,153.6666667,2.828427125
HCP,Health Care REITs,#FCB461,28.5,1.004448145
VTR,Health Care REITs,#FCB461,61.33333333,2.213682077
HCN,Health Care REITs,#FCB461,63.83333333,1.938403447
Industrial REITs,Real Estate,#FCB461,49,1
PLD,Industrial REITs,#FCB461,49,1.405074234
Materials,SP500,#FBCDE4,2104.5,22.02271555
Industrial Gases,Materials,#FBCDE4,252.5,3
PX,Industrial Gases,#FBCDE4,116.6666667,2.115176751
APD,Industrial Gases,#FBCDE4,135.8333333,2.431338422
Specialty Chemicals,Materials,#FBCDE4,744.8333333,9.899494937
LYB,Specialty Chemicals,#FBCDE4,79.33333333,1.858290762
SHW,Specialty Chemicals,#FBCDE4,250.6666667,8.317253353
IFF,Specialty Chemicals,#FBCDE4,126,4.177307998
ECL,Specialty Chemicals,#FBCDE4,112.6666667,1.98431325
PPG,Specialty Chemicals,#FBCDE4,93.66666667,1.775905975
ALB,Specialty Chemicals,#FBCDE4,82.5,1.927352256
Paper Packaging,Materials,#FBCDE4,205.8333333,1.414213562
IP,Paper Packaging,#FBCDE4,44,1.075671322
AVY,Paper Packaging,#FBCDE4,70.5,0.603407971
WRK,Paper Packaging,#FBCDE4,46,1.25275705
SEE,Paper Packaging,#FBCDE4,45.33333333,0.993019255
Gold,Materials,#FBCDE4,36.16666667,1
NEM,Gold,#FBCDE4,36.16666667,1.173565287
Copper,Materials,#FBCDE4,11.66666667,1
